year,publisher,title,genres,console,max_players,review_score,sales,price 
2007,EA,EA Playground,Racing,Nintendo DS,1,60,0.31,11.95
2007,EA,The Sims 2: Castaway,Simulation,Nintendo DS,1,66,0.66,16.95
2007,EA,The Simpsons Game,Action,Nintendo Wii,2,64,0.47,17.95
2007,EA,Medal of Honor: Heroes 2,Action,Nintendo Wii,1,73,0.34,19.95
2007,EA,Need for Speed: ProStreet,Racing,Nintendo Wii,2,61,0.49,16.95
2007,EA,The Sims 2: Pets,Simulation,Nintendo Wii,1,65,0.43,22.95
2007,EA,The Sims 2: Castaway,Simulation,Nintendo Wii,1,73,0.45,17.95
2007,EA,MySims,Strategy,Nintendo Wii,1,68,0.94,17.95
2007,EA,Tiger Woods PGA Tour 08,Sports,Nintendo Wii,4,72,1,17.95
2007,EA,SSX Blur,Sports,Nintendo Wii,4,74,0.31,17.95
2007,EA,Harry Potter and the Order of the Phoenix,Action,PlayStation 3,1,67,0.17,17.95
2007,EA,Need for Speed: ProStreet,Racing,PlayStation 3,2,73,0.75,16.95
2007,EA,NCAA March Madness 08,Sports,PlayStation 3,4,67,0.08,12.95
2007,EA,NBA Live 08,Sports,PlayStation 3,4,73,0.6,9.95
2007,EA,NBA Street Homecourt,Sports,PlayStation 3,4,81,0.11,14.95
2007,EA,NHL 08,Sports,PlayStation 3,7,86,0.17,9.95
2007,EA,The Simpsons Game,Action,Sony PSP,1,59,0.23,16.95
2007,EA,The Sims 2: Castaway,Simulation,Sony PSP,1,64,0.08,17.95
2007,EA,NBA Live 08,Sports,Sony PSP,1,73,0.3,14.95
2007,EA,Madden NFL 08,Sports,Sony PSP,1,75,0.64,9.95
2007,EA,Harry Potter and the Order of the Phoenix,Action,X360,1,68,0.22,16.95
2007,EA,Medal of Honor: Airborne,Action,X360,2,73,0.45,17.95
2007,EA,Need for Speed: ProStreet,Racing,X360,2,72,1.1,16.95
2007,EA,NASCAR 08,Racing,X360,1,59,0.25,12.95
2007,EA,NCAA 07 March Madness,Sports,X360,4,67,0.17,7.95
2007,EA,UEFA Champions League 2006-2007,Sports,X360,4,72,0.03,6.95
2007,EA,NBA LIVE 08 ,Sports,X360,1,73,0.49,9.95
2007,EA,NCAA Football 08,Sports,X360,2,81,0.68,9.95
2007,EA,Madden NFL 08,Sports,X360,4,85,2.32,9.95
2007,EA,NHL 08 ,Sports,X360,1,85,0.22,9.95
2007,EA,Command & Conquer 3: Tiberium Wars,Strategy,X360,1,82,0.35,24.95
2007,Eidos,Prism: Light the Way,Strategy,Nintendo DS,1,73,0.03,16.95
2007,Eidos,Zendoku,Strategy,Nintendo DS,1,68,0.04,16.95
2007,Eidos,Escape from Bug Island,Action,Nintendo Wii,1,37,0.04,14.95
2007,Eidos,Kane & Lynch: Dead Men,Action,PlayStation 3,2,64,0.29,19.95
2007,Eidos,Kane & Lynch: Dead Men,Action,X360,2,65,0.38,14.95
2007,Eidos,Battlestations: Midway,Strategy,X360,1,73,0.21,17.95
2007,Konami,Lunar Knights,Action,Nintendo DS,1,82,0.18,16.95
2007,Konami,Contra 4,Action,Nintendo DS,1,83,0.27,17.95
2007,Konami,Lost in Blue 2,Role-Playing,Nintendo DS,1,58,0.01,17.95
2007,Konami,Marvel Trading Card Game,Strategy,Nintendo DS,1,61,0.1,16.95
2007,Konami,Dance Dance Revolution Hottest Party,Action,Nintendo Wii,4,73,1.45,17.95
2007,Konami,Pro Evolution Soccer 2008,Sports,PlayStation 3,7,74,0.04,17.95
2007,Konami,Dance Dance Revolution Universe 2,Action,X360,4,65,0.48,19.95
2007,Microsoft,Vampire Rain,Action,X360,1,38,0.15,11.95
2007,Microsoft,Shadowrun,Action,X360,1,66,0.38,12.95
2007,Microsoft,Halo 3,Action,X360,4,94,8.03,24.95
2007,Microsoft,Mass Effect,Action-Role,X360,1,91,1.57,17.95
2007,Microsoft,Crackdown,Open World,X360,1,83,1.02,14.95
2007,Microsoft,Forza Motorsport 2,Racing,X360,2,90,2.48,12.95
2007,Midway,Ultimate Mortal Kombat 3,Action,Nintendo DS,1,73,0.05,23.95
2007,Midway,Game Party,Action,Nintendo Wii,4,25,1.49,14.95
2007,Midway,Unreal Tournament III,Action,PlayStation 3,1,86,0.33,16.95
2007,Midway,Hour of Victory,Action,X360,1,37,0.11,12.95
2007,Midway,BlackSite: Area 51,Action,X360,1,62,0.29,17.95
2007,Namco,Namco Museum DS,Action,Nintendo DS,1,67,0.8,17.95
2007,Namco,Dynasty Warriors: Gundam,Action,PlayStation 3,2,60,0.15,22.95
2007,Namco,Time Crisis 4,Action,PlayStation 3,2,60,0.33,24.95
2007,Namco,The Fast and the Furious,Racing,Sony PSP,1,58,0.02,22.95
2007,Namco,The Legend of Heroes III: Song of the Ocean,Role-Playing,Sony PSP,1,58,0.03,17.95
2007,Namco,Smash Court Tennis 3,Sports,Sony PSP,1,68,0.01,19.95
2007,Namco,Beautiful Katamari,Action,X360,1,73,0.11,17.95
2007,Nintendo,Flash Focus: Vision Training in Minutes a Day,Action,Nintendo DS,1,59,0.91,17.95
2007,Nintendo,Wario: Master of Disguise,Action,Nintendo DS,1,60,0.29,14.95
2007,Nintendo,The Legend of Zelda: Phantom Hourglass,Action,Nintendo DS,1,90,1.92,24.95
2007,Nintendo,Professor Layton and the Curious Village,Adventure,Nintendo DS,1,85,1.26,23.95
2007,Nintendo,Diddy Kong Racing DS,Racing,Nintendo DS,1,63,1.16,24.95
2007,Nintendo,Pokmon Mystery Dungeon: Explorers of Darkness,Role-Playing,Nintendo DS,1,59,1.91,15.95
2007,Nintendo,Pokmon Mystery Dungeon: Explorers of Time,Role-Playing,Nintendo DS,1,59,1.91,24.95
2007,Nintendo,Etrian Odyssey,Role-Playing,Nintendo DS,1,75,0.19,24.95
2007,Nintendo,Picross DS,Strategy,Nintendo DS,1,83,0.17,17.95
2007,Nintendo,Planet Puzzle League,Strategy,Nintendo DS,1,86,0.16,17.95
2007,Nintendo,Link's Crossbow Training,Action,Nintendo Wii,1,68,3.2,14.95
2007,Nintendo,Metroid Prime 3: Corruption,Action,Nintendo Wii,1,90,0.91,19.95
2007,Nintendo,Super Mario Galaxy,Action,Nintendo Wii,2,97,4.94,39.95
2007,Nintendo,Super Paper Mario,Action-Role,Nintendo Wii,1,85,1.5,29.95
2007,Nintendo,BWii: Battalion Wars 2,Sports,Nintendo Wii,1,75,0.21,14.95
2007,Nintendo,Mario Party 8,Strategy,Nintendo Wii,4,62,3.84,39.95
2007,Nintendo,Mario & Sonic at the Olympic Games,Action Sports,Nintendo Wii,4,67,2.74,29.95
2007,Rockstar,Manhunt 2,Action,Nintendo Wii,1,62,0.26,19.95
2007,Sega,Bleach: The Blade of Fate,Action,Nintendo DS,1,83,0.31,17.95
2007,Sega,The Golden Compass,Action,Nintendo Wii,1,35,0.26,14.95
2007,Sega,The Golden Compass,Action,PlayStation 3,1,40,0.12,12.95
2007,Sega,Virtua Fighter 5,Action,PlayStation 3,2,85,0.3,14.95
2007,Sega,SEGA Rally Revo,Racing,PlayStation 3,2,75,0.07,16.95
2007,Sega,The Golden Compass,Action,Sony PSP,1,28,0.1,14.95
2007,Sega,Alien Syndrome,Action,Sony PSP,1,51,0.07,12.95
2007,Sega,Sonic Rivals 2,Action,Sony PSP,1,60,0.46,22.95
2007,Sega,After Burner: Black Falcon,Action,Sony PSP,1,73,0.01,19.95
2007,Sega,Crush,Action,Sony PSP,1,83,0.08,16.95
2007,Sega,Crazy Taxi: Fare Wars,Open World,Sony PSP,1,64,0.1,17.95
2007,Sega,SEGA Rally Revo,Racing,Sony PSP,1,74,0.03,16.95
2007,Sega,The Golden Compass,Action,X360,1,41,0.27,9.95
2007,Sega,Virtua Fighter 5,Action,X360,2,89,0.18,17.95
2007,Sony,Uncharted: Drake's Fortune,Action,PlayStation 3,1,88,1.76,24.95
2007,Sony,Ratchet & Clank Future: Tools of Destruction,Action,PlayStation 3,1,89,0.86,22.95
2007,Sony,Folklore,Action-Role,PlayStation 3,1,75,0.18,24.95
2007,Sony,SingStar,Simulation,PlayStation 3,6,82,0.43,14.95
2007,Sony,The Eye of Judgment,Strategy,PlayStation 3,2,75,0.3,12.95
2007,Sony,Ratchet & Clank: Size Matters,Action,Sony PSP,1,85,1.47,14.95
2007,Sony,SOCOM: U.S. Navy SEALs - Tactical Strike,Strategy,Sony PSP,1,72,0.33,14.95
2007,Sony,Syphon Filter: Logan's Shadow,Strategy,Sony PSP,1,85,0.23,16.95
2007,Sony,Pursuit Force: Extreme Justice,Open World,Sony PSP,1,73,0.05,14.95
2007,Sony,WipEout Pulse,Open World,Sony PSP,1,82,0.11,16.95
2007,Sony,Jeanne d'Arc,Strategy,Sony PSP,1,87,0.21,19.95
2007,Sony,NBA 08,Sports,Sony PSP,2,75,0.03,7.95
2007,Sony,MLB 07: The Show,Sports,Sony PSP,1,82,0.28,9.95
2007,SquareEnix,Final Fantasy Fables: Chocobo Tales,Action,Nintendo DS,1,75,0.1,17.95
2007,SquareEnix,Final Fantasy: Crystal Chronicles - Echoes of Time,Action,Nintendo DS,1,75,0.11,24.95
2007,SquareEnix,Final Fantasy IV,Role-Playing,Nintendo DS,1,85,0.48,17.95
2007,SquareEnix,The World Ends With You,Role-Playing,Nintendo DS,1,88,0.37,17.95
2007,SquareEnix,Arkanoid DS,Strategy,Nintendo DS,1,61,0.03,16.95
2007,SquareEnix,Heroes of Mana,Strategy,Nintendo DS,1,66,0.06,24.95
2007,SquareEnix,Dragon Quest Swords: The Masked Queen and the T...,Action,Nintendo Wii,1,65,0.15,16.95
2007,SquareEnix,Final Fantasy,Role-Playing,Sony PSP,1,67,0.35,17.95
2007,SquareEnix,Final Fantasy Tactics,Strategy,Sony PSP,1,88,0.44,17.95
2007,THQ,Drawn to Life,Action,Nintendo DS,1,73,0.75,17.95
2007,THQ,Worms: Open Warfare 2,Strategy,Nintendo DS,1,81,0.07,17.95
2007,THQ,MX vs. ATV Untamed,Racing,Nintendo DS,1,61,0.11,17.95
2007,THQ,WWE SmackDown vs. Raw 2008,Sports,Nintendo DS,1,61,0.11,14.95
2007,THQ,Nicktoons: Attack of the Toybots,Action,Nintendo Wii,1,60,0.4,14.95
2007,THQ,Ratatouille,Action,Nintendo Wii,1,62,0.43,19.95
2007,THQ,WWE Smackdown vs. Raw 2008,Sports,Nintendo Wii,4,59,0.39,12.95
2007,THQ,MX vs. ATV Untamed,Racing,PlayStation 3,2,67,0.33,17.95
2007,THQ,WWE Smackdown vs. Raw 2008,Sports,PlayStation 3,6,74,0.64,14.95
2007,THQ,Juiced 2: Hot Import Nights,Racing,Sony PSP,1,73,0.05,16.95
2007,THQ,WWE Smackdown vs. Raw 2008,Sports,Sony PSP,4,68,0.46,16.95
2007,THQ,"Warhammer 40,000: Squad Command",Strategy,Sony PSP,1,67,0.12,17.95
2007,THQ,Stuntman: Ignition,Open World,X360,4,75,0.26,14.95
2007,THQ,Juiced 2: Hot Import Nights,Racing,X360,2,68,0.23,14.95
2007,Ubisoft,The Settlers,Strategy,Nintendo DS,1,39,0.09,17.95
